ID,Title,Milestone,Sprint,Priority,EstimateDays,DependsOn,AcceptanceCriteria
FND-001,Create Swift project modules,M0,Sprint 0,P0,1,None,"Modules compile: App, CameraKit, CaptureUI, Storage"
FND-002,Camera authorization and onboarding gate,M0,Sprint 0,P0,0.5,FND-001,"First-run permission flow and denied-state recovery implemented"
FND-003,CaptureSessionService abstraction,M0,Sprint 0,P0,1.5,FND-001,"Session start/stop/switch API with unit tests"
FND-004,Structured logging and event schema,M0,Sprint 0,P1,1,FND-001,"Capture events logged with timestamps and error codes"
FND-005,CI for lint tests and archive build,M0,Sprint 0,P0,1,FND-001,"CI blocks merges on failed tests or lint"
CAM-001,Live preview and shutter capture,M1,Sprint 1,P0,1.5,FND-003,"Photo callback delivers image data on supported devices"
CAM-002,Front and back camera switching,M1,Sprint 1,P1,0.5,CAM-001,"Switching stable and session state preserved"
CAM-003,Save output to Photos,M1,Sprint 1,P0,1,CAM-001,"Photos permission flow and save confirmation work"
CAM-004,EXIF and orientation correctness,M1,Sprint 1,P1,1,CAM-001,"Portrait and landscape files display with correct orientation"
CAM-005,Capture latency instrumentation,M1,Sprint 1,P1,1,"FND-004 CAM-001","Capture-to-delivery timing logged"
CAM-006,Error recovery and retry UX,M1,Sprint 1,P1,1,CAM-001,"Session interruption recovers without app restart"
MAN-001,Exposure state machine,M2,Sprint 2,P0,1,CAM-001,"Auto locked and custom transitions deterministic"
MAN-002,Manual ISO and shutter controls,M2,Sprint 2,P0,1.5,MAN-001,"Capture metadata matches selected ISO and shutter in RAW-safe mode"
MAN-003,Manual focus and lock,M2,Sprint 2,P1,1,CAM-001,"Focus ring updates and lock state persists"
MAN-004,White balance temperature and tint,M2,Sprint 2,P1,1,CAM-001,"WB controls can adjust and reset to auto"
MAN-005,Exposure compensation control,M2,Sprint 2,P2,0.5,MAN-001,"EV value visibly affects preview and final output"
MAN-006,Preset persistence,M2,Sprint 2,P1,1,"MAN-002 MAN-003 MAN-004","Presets save and restore in under 200 ms"
RAW-001,Capability detector by device format,M3,Sprint 3,P0,1,CAM-001,"RAW options only shown on compatible hardware and format"
RAW-002,Bayer DNG capture path,M3,Sprint 3,P0,2,RAW-001,"DNG captures open in Photos and Lightroom"
RAW-003,RAW and processed pair capture,M3,Sprint 3,P1,1,RAW-002,"Both files save and can be linked via metadata"
RAW-004,Enforce RAW-safe settings policy,M3,Sprint 3,P0,1.5,"RAW-002 MAN-002","RAW mode forces Speed and blocks conflicting zoom and processing settings"
RAW-005,Metadata pack for lens ISO shutter WB,M3,Sprint 3,P1,1,RAW-002,"DNG metadata complete and validated externally"
RAW-006,Storage and cleanup strategy,M3,Sprint 3,P1,1,RAW-002,"Storage pressure warning and cleanup flow implemented"
RAW-007,Optional Apple ProRAW mode,M4,Sprint 4,P2,1,RAW-001,"ProRAW mode available when supported and clearly labeled"
RAW-008,Mode education copy and labels,M3,Sprint 3,P0,0.5,"RAW-004 RAW-007","Users can distinguish True RAW versus ProRAW quickly"
UX-001,Real-time luminance histogram,M4,Sprint 4,P1,1,CAM-001,"Histogram updates at preview cadence with no severe lag"
UX-002,Zebra clipping overlay,M4,Sprint 4,P1,1,CAM-001,"Configurable clipping threshold and stable overlay"
UX-003,Focus peaking overlay,M4,Sprint 4,P1,1.5,MAN-003,"Peaking accuracy acceptable across focal ranges"
UX-004,Horizon level indicator,M4,Sprint 4,P2,0.5,CAM-001,"Level reacts to motion with minimal lag"
UX-005,Quick toggles and gesture model,M4,Sprint 4,P1,1,"UX-001 UX-002 UX-003","One-thumb operation validated on large and small iPhones"
UX-006,Preset quick switcher,M4,Sprint 4,P2,0.5,MAN-006,"Three-tap preset switch flow works during active session"
RND-001,CIRAWFilter neutral renderer,M5,Sprint 5,P0,2,RAW-002,"Baseline render minimizes tone curve and noise reduction"
RND-002,Rendering profiles Neutral Classic Punch,M5,Sprint 5,P1,1.5,RND-001,"Profiles produce consistent output across test set"
RND-003,Compare view RAW render versus processed,M5,Sprint 5,P1,1,"RND-001 RAW-003","Toggle compare at useful resolution in-app"
RND-004,Export pipeline JPEG and TIFF,M5,Sprint 5,P1,1,RND-001,"Exports include color space and profile metadata"
RND-005,Rendering performance benchmark gate,M5,Sprint 5,P0,1,RND-001,"Preview-size render under 700 ms on target devices"
QLT-001,Thermal and pressure degradation strategy,M6,Sprint 6,P0,1,CAM-005,"App degrades overlays and capture options without crash"
QLT-002,Memory budget and leak checks,M6,Sprint 6,P0,1,"RAW-003 RND-001","No critical leaks in 20-minute capture session"
QLT-003,Device matrix and regression plan,M6,Sprint 6,P0,1,ALL_PREVIOUS,"Regression suite covers minimum device matrix"
QLT-004,TestFlight feedback triage process,M7,Sprint 7,P1,0.5,QLT-003,"Feedback categories and SLA are documented and active"
REL-001,App Store assets and positioning,M7,Sprint 7,P1,1.5,"UX-005 RAW-008","Screenshots and copy align with feature truthfulness"
REL-002,Release candidate signoff checklist,M7,Sprint 7,P0,1,"QLT-001 QLT-002 QLT-003","All blocking issues closed before submission"
